Billing Code,Category,Sub Category,Sub Category 2,Description,Charge $(provider),Charge T,Charge P,Charge P1,Charge(H)
J008,,,,,56.7,,,,
J009,,,,,33.5,,,,
J010,,,,,105.3,,,,
J011,,,,,93.4,,,,
J012,,,,,,,,,
J013,,,,,121.25,,,,
J014,,,,,38.05,,,,
J018,,,,,52.25,,,,
J020,,,,,23.85,,,,
J021,,,,,121.4,,,,
J022,,,,,60.15,,,,
J023,,,,,34,,,,
J024,,,,,89.9,,,,
J025,,,,,398.15,,,,
J026,,,,,70.8,,,,
J027,,,,,76.55,,,,
J028,,,,,34,,,,
J029,,,,,69,,,,
J030,,,,,54.05,,,,
J031,,,,,89.9,,,,
J032,,,,,111.5,,,,
J033,,,,,128.35,,,,
J034,,,,,89.9,,,,
J035,,,,,34,,,,
J036,,,,,26.95,,,,
J037,,,,,70.35,,,,
J038,,,,,21.75,,,,
J039,,,,,140.4,,,,
J040,,,,,121.25,,,,
J041,,,,,339.9,,,,
J042,,,,,82.2,,,,
J043,,,,,40.65,,,,
J044,,,,,135,,,,
J045,,,,,140.55,,,,
J046,,,,,257.6,,,,
J047,,,,,56.8,,,,
J048,,,,,311.05,,,,
J049,,,,,437.3,,,,
J050,,,,,297.3,,,,
J051,,,,,108.9,,,,
J052,,,,,99.9,,,,
J053,,,,,45.35,,,,
J055,,,,,257.6,,,,
J056,,,,,670.55,,,,
J057,,,,,906.45,,,,
J058,,,,,101.55,,,,
J059,,,,,116.9,,,,
J060,,,,,34,,,,
J061,,,,,257.6,,,,
J062,,,,,257.6,,,,
J063,,,,,298.8,,,,
J064,,,,,72.65,,,,
J065,,,,,23.6,,,,
J066,,,,,504.4,,,,
J067,,,,,44,,,,
J068,,,,,44.25,,,,
J069,,,,,515.7,,,,
J102,,,,,,22.4,28.5,,
J103,,,,,,43.95,38.05,,
J105,,,,,,47.3,23.7,,
J107,,,,,,21.75,18.85,,
J108,,,,,,22.8,19.7,,
J122,,,,,,47.2,23.7,,
J125,,,,,,48.75,24.55,,
J127,,,,,,23.7,13.1,,
J128,,,,,,32.1,17.55,,
J135,,,,,,48.75,26.45,,
J138,,,,Intracavitary ultrasound* (e.g. transrectal,,48.75,26.5,,
J149,,,,,,47.3,36.85,,
J151,,,,,,,19.65,,
J157,,,,,,32.1,17.55,,
J158,,,,,,32.1,17.55,,
J159,,,,,,48.75,33.8,,
J160,,,,,,48.75,32.25,,
J161,,,,,,32.1,16.25,,
J162,,,,,,48.75,26.55,,
J163,,,,,,32.1,17.55,,
J164,,,,Follicle monitoring studies,,24.4,12.3,,
J165,,,,,,99.95,33.15,,
J166,,,,,,41.45,22.1,,
J167,,,,,,32.1,30,,
J168,,,,,,39,20.85,,
J169,,,,,,33.15,16.35,,
J180,,,,,,35.15,18.9,,
J182,,,,,,25.5,14.95,,
J183,,,,,,47.3,23.8,,
J186,,,,,,,32.5,,
J187,,,,,,,32.5,,
J188,,,,,,,22.9,,
J189,,,,,,,23.65,,
J190,,,,,,42.65,17.1,,
J193,,,,,,22.05,14.3,,
J196,,,,,,8,10.1,,
J197,,,,,,6.85,7.8,,
J198,,,,,,7.4,9.9,,
J199,,,,,,6.85,7.8,,
J200,,,,,,20.4,21.4,,
J201,,,,,,55.05,24.65,,
J202,,,,,,28.5,16.6,,
J203,,,,,,24.1,5.5,,
J204,,,,,,13.2,5.5,,
J205,,,,,,22.05,14.2,,
J206,,,,,,22.05,14.2,,
J207,,,,,,22.05,14.2,,
J290,,,,,,,30.6,,
J301,,,,,,9.85,7.85,,
J303,,,,Extra pulmonary airways resistance by plethysmography,,16.2,16.05,,
J304,,,,,,19.6,11.55,,
J305,,,,,,51.95,48.15,,
J306,,,,,,16.2,17.25,,
J307,,,,,,17.5,19.2,,
J308,,,,Carbon dioxide ventilatory response,,19.9,14.6,,
J310,,,,,,21.4,19.4,,
J311,,,,,,16.3,18.9,,
J313,,,,Mixed venous PCO2,,11.25,4.7,,
J315,,,,,,62.45,50.75,,
J316,,,,,,90,65.4,,
J318,,,,Arterialized venous blood sample collection (e.g. ear lo,,3.79,,,
J319,,,,,,11.25,,,
J320,,,,,,27.55,12.85,,
J322,,,,Standard O2 consumption and CO2 production,,5.3,6.45,,
J323,,,,,,4.2,,,
J324,,,,,,2.97,4.2,,
J327,,,,,,2.97,6.9,,
J330,,,,,,33.35,24.5,,
J331,,,,Estimate of shunt (Qs/Qt) breathing pure oxygen,,27.55,16.05,,
J332,,,,,,17.6,11.35,,
J333,,,,,,48.25,37.35,,
J334,,,,,,30.55,16.85,,
J335,,,,Antigen challenge test,,51.85,30.95,,
J336,,,,,,30.55,16.85,,
J340,,,,Maximum inspiratory and expiratory pressures,,2.81,3.43,,
J476,,,,,,232.9,30.65,,
J700,,,,,,,255.2,,
J701,,,,Thyroid cancer,,,255.2,,
J702,,,,Germ cell tumour,,,255.2,,
J703,,,,Colorectal cancer,,,255.2,,
J704,,,,Lymphoma for the evaluation of a residual mass(es),,,255.2,,
J705,,,,Lymphoma for the assessment of response to treatment,,,255.2,,
J706,,,,Non-small cell lung cancer,,,255.2,,
J707,,,,,,,237.5,,
J708,,,,,,,,,
J709,,,,Limited disease small cell lung cancer,,,255.2,,
J710,,,,Esophageal carcinoma,,,255.2,,
J711,,,,,,,255.2,,
J712,,,,Liver metastasis from colorectal cancer,,,255.2,,
J713,,,,,,,255.2,,
J802,,,,,,96.35,40.3,,
J804,,,,,,16.1,16.55,,
J806,,,,,,95.1,41.7,,
J807,,,,,,217.55,38.1,,
J808,,,,,,80.1,20.9,,
J809,,,,,,43.5,23.65,,
J810,,,,,,88.25,37.9,,
J811,,,,,,95.1,43.25,,
J812,,,,,,48.15,20.9,,
J813,,,,,,135.15,62.5,,
J814,,,,,,48.15,33,,
J815,,,,,,131.7,40.3,,
J816,,,,,,385.9,40.3,,
J817,,,,,,28.65,18.25,,
J818,,,,,,64.15,40.3,,
J819,,,,,,43.5,24.65,,
J820,,,,,,234.7,55.3,,
J821,,,,,,44.65,11.4,,
J823,,,,,,48.15,9.7,,
J824,,,,,,57.3,10.35,,
J825,,,,,,82.45,9.75,,
J826,,,,,,61.9,9.95,,
J827,,,,,,118.9,40.3,,
J829,,,,,,103.1,40.3,,
J830,,,,,,87,40.3,,
J831,,,,Biliary scintigraphy,,114.5,40.3,,
J832,,,,Liver/spleen scintigraphy,,80.1,40.3,,
J833,,,,Salivary gland scintigraphy,,96.25,40.3,,
J834,,,,Dynamic renal i maging,,96.25,32.6,,
J835,,,,,,131.7,57.8,,
J836,,,,,,33.25,40.3,,
J837,,,,ERPF by blood sample method,,40.15,10.35,,
J838,,,,,,40.15,10.35,,
J839,,,,Cystography for vesicoureteric reflux,,120.55,40.3,,
J840,,,,,,82.45,40.3,,
J841,,,,Plasma volume,,43.5,11.85,,
J843,,,,,,48.15,11.85,,
J847,,,,Ferrokinetics - clearance,,400.95,26.5,,
J848,,,,,,102.6,21.25,,
J849,,,,,,148.25,27.1,,
J850,,,,,,103.7,49.7,,
J851,,,,,,84.85,40.3,,
J852,,,,,,177.55,49.7,,
J853,,,,,,123.7,40.3,,
J857,,,,,,120.25,45.75,,
J858,,,,Brain scintigraphy,,90.4,44.8,,
J859,,,,Perfusion lung scintigraphy,,85.9,36.05,,
J860,,,,Perfusion and ventilation scintigraphy - same day,,171.85,75.9,,
J861,,,,Radionuclide lymphangiogram,,112.2,54.8,,
J862,,,,Ocular tumour localization,,75.6,54.9,,
J863,,,,,,99.95,40.3,,
J864,,,,Tear duct scintigraphy,,97.35,42.95,,
J865,,,,,,187.95,49.7,,
J866,,,,,,43.5,23.65,,
J867,,,,,,57.3,23.25,,
J868,,,,,,451.3,44.6,,
J869,,,,,,555.35,49.7,,
J870,,,,,,14.65,10.75,,
J871,,,,,,103.1,40.3,,
J872,,,,Metastatic survey with I-131,,240.6,49.7,,
J873,,,,,,137.7,14.25,,
J874,,,,,,61.9,9.7,,
J875,,,,,,253.1,31,,
J876,,,,,,56.7,40.3,,
J877,,,,,,40.15,40.3,,
J878,,,,,,143.2,40.3,,
J879,,,,,,66.3,38.7,,
J880,,,,,,44.85,17.8,,
J881,,,,,,113.7,49.7,,
J882,,,,,,84.85,40.3,,
J883,,,,,,364.3,49.7,,
J884,,,,,,320.8,40.3,,
J885,,,,,,308.2,45.75,,
J886,,,,,,88.55,44.45,,
J887,,,,Ventilation lung scintigraphy,,107.7,36.05,,
J889,,,,,,370.75,97.5,,
J890,,,,,,370.75,97.5,,
J893,,,,Multiple sleep latency test,,68.95,49.9,,
J894,,,,Maintenance of wakefulness test,,68.95,49.9,,
J895,,,,,,370.75,97.5,,
J896,,,,,,370.75,97.5,,
J897,,,,,,370.75,97.5,,
J898,,,,Sleep study less than 1 hour,,92.65,,,
J899,,,,Sleep study between 1 and 4 hours,,185.4,,,
J900,,,,,,43.5,23.65,,
J901,,,,,,43.5,23.65,,
J990,,,,Sleep study more than 4 hours,,370.75,,,
K001,,,,,21.1,,,,
K002,CONSULTATIONS AND VISITS,FAMILY PRACTICE & PRACTICE IN GENERAL (00),,,70.1,,,,
K003,CONSULTATIONS AND VISITS,FAMILY PRACTICE & PRACTICE IN GENERAL (00),,,70.1,,,,
K004,CONSULTATIONS AND VISITS,FAMILY PRACTICE & PRACTICE IN GENERAL (00),,,76.1,,,,
K005,CONSULTATIONS AND VISITS,FAMILY PRACTICE & PRACTICE IN GENERAL (00),,,70.1,,,,
K006,CONSULTATIONS AND VISITS,FAMILY PRACTICE & PRACTICE IN GENERAL (00),,,70.1,,,,
K007,CONSULTATIONS AND VISITS,FAMILY PRACTICE & PRACTICE IN GENERAL (00),,,70.1,,,,
K008,CONSULTATIONS AND VISITS,FAMILY PRACTICE & PRACTICE IN GENERAL (00),,,70.1,,,,
K010,CONSULTATIONS AND VISITS,FAMILY PRACTICE & PRACTICE IN GENERAL (00),,,11.2,,,,
K012,CONSULTATIONS AND VISITS,FAMILY PRACTICE & PRACTICE IN GENERAL (00),,,17.65,,,,
K013,CONSULTATIONS AND VISITS,FAMILY PRACTICE & PRACTICE IN GENERAL (00),,,70.1,,,,
K014,CONSULTATIONS AND VISITS,FAMILY PRACTICE & PRACTICE IN GENERAL (00),,,70.1,,,,
K015,CONSULTATIONS AND VISITS,FAMILY PRACTICE & PRACTICE IN GENERAL (00),,,70.1,,,,
K016,CONSULTATIONS AND VISITS,FAMILY PRACTICE & PRACTICE IN GENERAL (00),,,74.05,,,,
K017,CONSULTATIONS AND VISITS,FAMILY PRACTICE & PRACTICE IN GENERAL (00),,child,45.25,,,,
K018,CONSULTATIONS AND VISITS,FAMILY PRACTICE & PRACTICE IN GENERAL (00),,,326,,,,
K019,CONSULTATIONS AND VISITS,FAMILY PRACTICE & PRACTICE IN GENERAL (00),,,35.1,,,,
K020,CONSULTATIONS AND VISITS,FAMILY PRACTICE & PRACTICE IN GENERAL (00),,,23.35,,,,
K021,CONSULTATIONS AND VISITS,FAMILY PRACTICE & PRACTICE IN GENERAL (00),,,257.15,,,,
K022,CONSULTATIONS AND VISITS,FAMILY PRACTICE & PRACTICE IN GENERAL (00),,,70.1,,,,
K023,CONSULTATIONS AND VISITS,FAMILY PRACTICE & PRACTICE IN GENERAL (00),,,74.7,,,,
K024,CONSULTATIONS AND VISITS,FAMILY PRACTICE & PRACTICE IN GENERAL (00),,,14.55,,,,
K025,CONSULTATIONS AND VISITS,FAMILY PRACTICE & PRACTICE IN GENERAL (00),,,12.35,,,,
K026,CONSULTATIONS AND VISITS,FAMILY PRACTICE & PRACTICE IN GENERAL (00),,Certification of Medical Eligibility for OHCAP,54.7,,,,
K027,CONSULTATIONS AND VISITS,FAMILY PRACTICE & PRACTICE IN GENERAL (00),,,21.85,,,,
K028,CONSULTATIONS AND VISITS,FAMILY PRACTICE & PRACTICE IN GENERAL (00),,,70.1,,,,
K029,CONSULTATIONS AND VISITS,FAMILY PRACTICE & PRACTICE IN GENERAL (00),,,70.1,,,,
K030,CONSULTATIONS AND VISITS,FAMILY PRACTICE & PRACTICE IN GENERAL (00),,Diabetic Management Assessment,40.55,,,,
K031,CONSULTATIONS AND VISITS,FAMILY PRACTICE & PRACTICE IN GENERAL (00),,,102.5,,,,
K032,CONSULTATIONS AND VISITS,FAMILY PRACTICE & PRACTICE IN GENERAL (00),,Specific neurocognitive assessment,70.1,,,,
K033,CONSULTATIONS AND VISITS,FAMILY PRACTICE & PRACTICE IN GENERAL (00),,,49.35,,,,
K034,CONSULTATIONS AND VISITS,FAMILY PRACTICE & PRACTICE IN GENERAL (00),,,36,,,,
K035,CONSULTATIONS AND VISITS,FAMILY PRACTICE & PRACTICE IN GENERAL (00),,,36.25,,,,
K036,CONSULTATIONS AND VISITS,FAMILY PRACTICE & PRACTICE IN GENERAL (00),,Completion of northern health travel grant application form,10.25,,,,
K037,CONSULTATIONS AND VISITS,FAMILY PRACTICE & PRACTICE IN GENERAL (00),,,70.1,,,,
K038,CONSULTATIONS AND VISITS,FAMILY PRACTICE & PRACTICE IN GENERAL (00),,Completion of Long-Term Care health report form,45.15,,,,
K039,CONSULTATIONS AND VISITS,FAMILY PRACTICE & PRACTICE IN GENERAL (00),,Smoking cessation follow-up visit,33.45,,,,
K040,CONSULTATIONS AND VISITS,FAMILY PRACTICE & PRACTICE IN GENERAL (00),,,70.1,,,,
K041,CONSULTATIONS AND VISITS,FAMILY PRACTICE & PRACTICE IN GENERAL (00),,,50.2,,,,
K042,CONSULTATIONS AND VISITS,FAMILY PRACTICE & PRACTICE IN GENERAL (00),,Extended specific neurocognitive assessment,140.2,,,,
K044,,,,,62.75,,,,
K045,,,DIABETES MANAGEMENT BY A SPECIALIST,Diabetes management by a specialist,76.2,,,,
K046,,,,Diabetes team management,115,,,,
K050,,,,,105.65,,,,
K051,,,,,84.5,,,,
K052,,,,,21.1,,,,
K053,,,,,15.85,,,,
K054,,,,,26.4,,,,
K055,,,,,21.1,,,,
K056,,,,,21.1,,,,
K057,,,,,37,,,,
K058,,,,,132,,,,
K059,,,,,105.65,,,,
K060,,,,,26.4,,,,
K061,,,,,31.65,,,,
K065,,,,,51.65,,,,
K066,,,,,51.65,,,,
K070,CONSULTATIONS AND VISITS,FAMILY PRACTICE & PRACTICE IN GENERAL (00),,Application,31.75,,,,
K071,CONSULTATIONS AND VISITS,FAMILY PRACTICE & PRACTICE IN GENERAL (00),,,21.4,,,,
K072,CONSULTATIONS AND VISITS,FAMILY PRACTICE & PRACTICE IN GENERAL (00),,,21.4,,,,
K077,,,,Geriatric telephone support,40.05,,,,
K090,CONSULTATIONS AND VISITS,FAMILY PRACTICE & PRACTICE IN GENERAL (00),,,100,,,,
K091,CONSULTATIONS AND VISITS,FAMILY PRACTICE & PRACTICE IN GENERAL (00),,,25,,,,
K101,,,,,42.1,,,,
K102,,,,,20.2,,,,
K111,,,,,126.4,,,,
K112,,,,,25.05,,,,
K119,,,,Paediatric developmental assessment incentive,115.1,,,,
K121,CONSULTATIONS AND VISITS,FAMILY PRACTICE & PRACTICE IN GENERAL (00),,Hospital in-patient case conference,32.45,,,,
K122,,,,,89.7,,,,
K123,,,,,101.75,,,,
K124,CONSULTATIONS AND VISITS,FAMILY PRACTICE & PRACTICE IN GENERAL (00),,Long-term care/CCAC case conference,32.45,,,,
K130,CONSULTATIONS AND VISITS,FAMILY PRACTICE & PRACTICE IN GENERAL (00),,adolescent,77.2,,,,
K131,CONSULTATIONS AND VISITS,FAMILY PRACTICE & PRACTICE IN GENERAL (00),,adult age 18 to 64 inclusive,56.95,,,,
K132,CONSULTATIONS AND VISITS,FAMILY PRACTICE & PRACTICE IN GENERAL (00),,adult 65 years of age and older,80.95,,,,
K133,CONSULTATIONS AND VISITS,FAMILY PRACTICE & PRACTICE IN GENERAL (00),,,160,,,,
K140,CONSULTATIONS AND VISITS,FAMILY PRACTICE & PRACTICE IN GENERAL (00),,,35.1,,,,
K141,CONSULTATIONS AND VISITS,FAMILY PRACTICE & PRACTICE IN GENERAL (00),,,23.35,,,,
K142,CONSULTATIONS AND VISITS,FAMILY PRACTICE & PRACTICE IN GENERAL (00),,,17.65,,,,
K143,CONSULTATIONS AND VISITS,FAMILY PRACTICE & PRACTICE IN GENERAL (00),,,14.55,,,,
K144,CONSULTATIONS AND VISITS,FAMILY PRACTICE & PRACTICE IN GENERAL (00),,,12.35,,,,
K181,,,,,90,,,,
K187,,,,,,,,,
K188,,,,,,,,,
K189,,,,,216.3,,,,
K190,,,,,93.95,,,,
K191,,,,,117.4,,,,
K192,,,,Individual,89.7,,,,
K193,,,,,106.6,,,,
K194,,,,,16.3,,,,
K195,,,,,101.75,,,,
K196,,,,K197 or K198,101.75,,,,
K197,,,,,89.7,,,,
K198,,,,,89.7,,,,
K199,,,,,103.4,,,,
K200,,,,,23.45,,,,
K201,,,,,18.75,,,,
K202,,,,,16.95,,,,
K203,,,,,22.45,,,,
K204,,,,,17.9,,,,
K205,,,,,16.15,,,,
K206,,,,,14.35,,,,
K207,,,,,14.35,,,,
K208,,,,,44.85,,,,
K209,,,,,29.9,,,,
K210,,,,,47.05,,,,
K211,,,,,31.35,,,,
K222,,,,,79.3,,,,
K223,,,,,40,,,,
K224,,,,,38.2,,,,
K229,,,,,65.85,,,,
K267,,,,,41.6,,,,
K269,,,,,77.2,,,,
K313,,,,,8.1,,,,
K399,CONSULTATIONS AND VISITS,FAMILY PRACTICE & PRACTICE IN GENERAL (00),,Clinical interpretation by an immunologist,29.05,,,,
K480,,,,Physician to allied professional telephone consultation,31.35,,,,
K481,,,,Rheumatoid arthritis management by a specialist,75,,,,
K620,,,,,94.95,,,,
K623,CONSULTATIONS AND VISITS,FAMILY PRACTICE & PRACTICE IN GENERAL (00),,,117.05,,,,
K624,CONSULTATIONS AND VISITS,FAMILY PRACTICE & PRACTICE IN GENERAL (00),,,144.15,,,,
K629,CONSULTATIONS AND VISITS,FAMILY PRACTICE & PRACTICE IN GENERAL (00),,,42.7,,,,
K630,,,,,117.4,,,,
K680,CONSULTATIONS AND VISITS,FAMILY PRACTICE & PRACTICE IN GENERAL (00),,,70.1,,,,
K682,CONSULTATIONS AND VISITS,FAMILY PRACTICE & PRACTICE IN GENERAL (00),,,45,,,,
K683,CONSULTATIONS AND VISITS,FAMILY PRACTICE & PRACTICE IN GENERAL (00),,,38,,,,
K684,CONSULTATIONS AND VISITS,FAMILY PRACTICE & PRACTICE IN GENERAL (00),,,6,,,,
K700,CONSULTATIONS AND VISITS,FAMILY PRACTICE & PRACTICE IN GENERAL (00),,Palliative care out-patient case conference,32.45,,,,
K701,CONSULTATIONS AND VISITS,FAMILY PRACTICE & PRACTICE IN GENERAL (00),,Mental health out-patient case conference,32.45,,,,
K702,CONSULTATIONS AND VISITS,FAMILY PRACTICE & PRACTICE IN GENERAL (00),,Bariatric out-patient case conference,32.45,,,,
K703,CONSULTATIONS AND VISITS,FAMILY PRACTICE & PRACTICE IN GENERAL (00),,Geriatric out-patient case conference,32.45,,,,
K704,CONSULTATIONS AND VISITS,FAMILY PRACTICE & PRACTICE IN GENERAL (00),,Paediatric out-patient case conference,32.45,,,,
K705,CONSULTATIONS AND VISITS,FAMILY PRACTICE & PRACTICE IN GENERAL (00),,Long-term care - high risk patient conference,32.45,,,,
K706,CONSULTATIONS AND VISITS,FAMILY PRACTICE & PRACTICE IN GENERAL (00),,Convalescent care program case conference,32.45,,,,
K707,CONSULTATIONS AND VISITS,FAMILY PRACTICE & PRACTICE IN GENERAL (00),,Chronic pain out-patient case conference,32.45,,,,
K708,CONSULTATIONS AND VISITS,FAMILY PRACTICE & PRACTICE IN GENERAL (00),,MCC Participant,32.45,,,,
K709,CONSULTATIONS AND VISITS,FAMILY PRACTICE & PRACTICE IN GENERAL (00),,MCC Chairperson,41.85,,,,
K710,CONSULTATIONS AND VISITS,FAMILY PRACTICE & PRACTICE IN GENERAL (00),,MCC Radiologist Participant,32.45,,,,
K711,CONSULTATIONS AND VISITS,FAMILY PRACTICE & PRACTICE IN GENERAL (00),,,32.45,,,,
K730,CONSULTATIONS AND VISITS,FAMILY PRACTICE & PRACTICE IN GENERAL (00),,,32.45,,,,
K731,CONSULTATIONS AND VISITS,FAMILY PRACTICE & PRACTICE IN GENERAL (00),,,41.85,,,,
K732,CONSULTATIONS AND VISITS,FAMILY PRACTICE & PRACTICE IN GENERAL (00),,CritiCall telephone consultation - Referring physician,32.45,,,,
K733,CONSULTATIONS AND VISITS,FAMILY PRACTICE & PRACTICE IN GENERAL (00),,CritiCall telephone consultation - Consultant physician,41.85,,,,
K734,CONSULTATIONS AND VISITS,FAMILY PRACTICE & PRACTICE IN GENERAL (00),,,32.45,,,,
K735,CONSULTATIONS AND VISITS,FAMILY PRACTICE & PRACTICE IN GENERAL (00),,,41.85,,,,
K736,CONSULTATIONS AND VISITS,FAMILY PRACTICE & PRACTICE IN GENERAL (00),,CritiCall telephone consultation - Referring physician,32.45,,,,
K737,CONSULTATIONS AND VISITS,FAMILY PRACTICE & PRACTICE IN GENERAL (00),,CritiCall telephone consultation - Consultant physician,41.85,,,,
K738,CONSULTATIONS AND VISITS,FAMILY PRACTICE & PRACTICE IN GENERAL (00),,,16,,,,
K739,CONSULTATIONS AND VISITS,FAMILY PRACTICE & PRACTICE IN GENERAL (00),,,20.5,,,,
K887,CONSULTATIONS AND VISITS,FAMILY PRACTICE & PRACTICE IN GENERAL (00),,,94.55,,,,
K888,CONSULTATIONS AND VISITS,FAMILY PRACTICE & PRACTICE IN GENERAL (00),,,94.55,,,,
K889,CONSULTATIONS AND VISITS,FAMILY PRACTICE & PRACTICE IN GENERAL (00),,,94.55,,,,
K960,,,,,36.4,,,,
K961,,,,,36.4,,,,
K962,,,,,36.4,,,,
K963,,,,,36.4,,,,
K964,,,,,36.4,,,,
K990,,,,,20,,,,
K991,,,,,20,,,,
K992,,,,,40,,,,
K993,,,,,40,,,,
K994,,,,,60,,,,
K995,,,,,60,,,,
K996,,,,,100,,,,
K997,,,,,100,,,,
K998,,,,,75,,,,
K999,,,,,75,,,,
L800,,,,Blood film interpretation (Romanowsky stain),22.7,,,,
L801,,,,Metabolic bone studies,95.3,,,,
L802,,,,Bone marrow interpretation (Romanowsky stain),62.75,,,,
L803,,,,Karyotype,73.95,,,,
L804,,,,,14.3,,,,
L805,,,,Aspiration biopsy e.g. lung,90.85,,,,
L806,,,,,36.35,,,,
L807,,,,,4.95,,,,
L808,,,,Imprint,36.35,,,,
L810,,,,,25,,,,
L811,,,,Y chromosome,6.05,,,,
L812,,,,,4.6,,,,
L815,,,,,36.35,,,,
L816,,,,Electron microscopy by TEM,97.95,,,,
L817,,,,Anti-tissue antibodies and interpretation - per case,6.05,,,,
L819,,,,,13.6,,,,
L820,,,,Smear for spermatozoa,8.5,,,,
L822,,,,Operative consultation,77.2,,,,
L823,,,,,38.25,,,,
L824,,,,,24.7,,,,
L825,,,,,25.2,,,,
L826,,,,,15.6,,,,
L827,,,,Interpretation of carcinoembryonic antigen (CEA),5.3,,,,
L828,,,,,7.95,,,,
L829,,,,,25,,,,
L830,,,,Terminal transferase by immunofluorescence,11.85,,,,
L831,,,,,49.35,,,,
L832,,,,X-ray diffraction analysis and interpretation,23.7,,,,
L833,,,,Nerve teasing,140.75,,,,
L834,,,,Histochemistry of muscle - 1 to 3 enzymes,15.6,,,,
L835,,,,,15.6,,,,
L836,,,,Morphometry per parameter,24.7,,,,
L837,,,,Immunohistochemistry and interpretation - per marker,15.55,,,,
L838,,,,,19.8,,,,
L841,,,,Enzyme histochemistry and interpretation - per enzyme,15.6,,,,
L842,,,,,8.45,,,,
L843,,,,,24.05,,,,
L844,,,,,25.05,,,,
L845,,,,,10.4,,,,
L846,,,,,12.6,,,,
L847,,,,,65.15,,,,
L848,,,,,29.65,,,,
L849,,,,Interpretation and handling of decalcified tissue,15.6,,,,
L861,,,,Surgical Pathology,5.2,,,,
L862,,,,,8.45,,,,
L863,,,,Surgical Pathology,14.3,,,,
L864,,,,,48.65,,,,
L865,,,,Surgical Pathology,103.2,,,,
L866,,,,,181.65,,,,
L867,,,,Surgical Pathology,46.65,,,,
L868,,,,Special histochemistry for identification of microorganisms,35.05,,,,
L869,,,,,15.55,,,,
M010,,,,,493.9,,,,
M011,,,,,,,,,
M012,,,,,293.95,,,,
M013,,,,,526,,,,
M014,,,,,541.65,,,,
M015,,,,,306.85,,,,
M016,,,,,358.7,,,,
M017,,,,,39.6,,,,
M018,,,,,306.85,,,,
M020,,,,,360.45,,,,
M021,,,,,123.7,,,,
M023,,,,,360.45,,,,
M027,,,,,297.25,,,,
M028,,,,,73.8,,,,
M030,,,,,1082.3,,,,
M031,,,,,254.15,,,,
M032,,,,,432.45,,,,
M033,,,,,254.15,,,,
M054,,,,,123.7,,,,
M055,,,,,247.35,,,,
M056,,,,,971.75,,,,
M058,,,,,460.2,,,,
M059,,,,,460.2,,,,
M061,,,,,355.65,,,,
M063,,,,,716.25,,,,
M064,,,,,612.65,,,,
M067,,,,,345.15,,,,
M080,,,,,182.1,,,,
M081,,,,,838.9,,,,
M082,,,,,444.8,,,,
M083,,,,,350,,,,
M084,,,,,888.85,,,,
M085,,,,,395.05,,,,
M086,,,,,822.45,,,,
M089,,,,,234.6,,,,
M090,,,,,642.45,,,,
M099,,,,,918.6,,,,
M100,,,,,654.3,,,,
M101,,,,,868.15,,,,
M103,,,,,1294.2,,,,
M104,,,,,825.4,,,,
M105,,,,,650,,,,
M106,,,,,1004,,,,
M107,,,,,812.25,,,,
M108,,,,,410.45,,,,
M109,,,,,,,,,
M110,,,,,,,,,
M111,,,,,304.2,,,,
M112,,,,,500,,,,
M116,,,,,350,,,,
M117,,,,,251.45,,,,
M130,,,,,584.75,,,,
M132,,,,,900,,,,
M133,,,,,390.65,,,,
M134,,,,,390.65,,,,
M135,,,,,848.8,,,,
M137,,,,,390.65,,,,
M138,,,,,534.1,,,,
M142,,,,,1700,,,,
M143,,,,,1402.6,,,,
M144,,,,,1441.75,,,,
M145,,,,,843.4,,,,
M149,,,,,525,,,,
M151,,,,,725,,,,
M155,,,,,2054.25,,,,
M156,,,,Repeat lung transplant (one lung),2670.55,,,,
M157,,,,Donor Heart - Lung removal,906.45,,,,
M400B,,,,,,,,,
N102,,,,,1862.85,,,,
N103,,,,,1686.05,,,,
N104,,,,,1230,,,,
N105,,,,,2477.45,,,,
N106,,,,,2006.05,,,,
N107,,,,,1456.95,,,,
N108,,,,,1229.55,,,,
N109,,,,,1878.35,,,,
N110,,,,,2184.2,,,,
N111,,,,ranssphenoidal m icroscopic resection of lesion(s) originating in the sella turcica requiring simple closure,1879,,,,
N112,,,,Endonasal e ndoscopic or microscopic approach for surgical access to sella turcica - includes when rendered middle turbinate reductions,1360,,,,
N113,,,,,1019.15,,,,
N114,,,,,1742.45,,,,
N115,,,,,578.85,,,,
N116,,,,Endonasal e ndoscopic resection of non-pituitary lesion(s) not originating from pituitary tissue requiring simple closure,2243.45,,,,
N117,,,,,1416.5,,,,
N118,,,,,952.05,,,,
N119,,,,,1185.3,,,,
N120,,,,,481.9,,,,
N121,,,,,1711.4,,,,
N122,,,,,2140.15,,,,
N123,,,,,559.6,,,,
N124,,,,,2040.15,,,,
N125,,,,,2140.15,,,,
N126,,,,,1442.95,,,,
N127,,,,,518.85,,,,
N128,,,,,924.7,,,,
N129,,,,,1284.95,,,,
N130,,,,,1014.85,,,,
N139,,,,,634.9,,,,
N140,,,,,895,,,,
N143,,,,,647.8,,,,
N144,,,,,999.3,,,,
N148,,,,,1204.65,,,,
N149,,,,,968.5,,,,
N150,,,,,1065.45,,,,
N151,,,,,1862.85,,,,
N152,,,,,1575.8,,,,
N153,,,,,2529.8,,,,
N154,,,,,2477.45,,,,
N155,,,,,2015,,,,
N156,,,,,1229.55,,,,
